,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
951,Thiago Galhardo,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,5,0,0,21,13,16,9,6,6,0,0,0,31,48,66,42.1,Matches,766f48dd
952,Conor Gallagher,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,10,0,0,65,65,2,128,29,38,1,0,0,187,23,37,38.3,Matches,c2731c10
953,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31.0,2,0,0,0,7,0,0,2,0,0,0,0,33,2,1,66.7,Matches,db3164e1
954,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,31,1989,19.1,6,0,0,21,11,2,32,32,36,0,0,0,153,20,9,69.0,Matches,f27680d9
955,Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,0,0,0,16,17,14,16,6,10,1,0,0,81,10,48,17.2,Matches,42276181
956,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31,1989,18.2,4,0,0,38,16,1,2,24,36,0,0,0,127,8,15,34.8,Matches,72c812f3
957,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,22,1999,11.4,2,0,0,9,10,10,3,2,2,0,0,0,27,19,30,38.8,Matches,23c63b7f
958,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,de Bundesliga,25,1996,1.7,0,0,0,2,1,6,0,0,0,0,0,0,5,22,8,73.3,Matches,6c731625
959,Álvaro García,es ESP,FWMF,Rayo Vallecano,es La Liga,28,1992,33.3,6,0,0,23,25,11,194,42,23,0,0,0,187,5,23,17.9,Matches,90bbd822
960,Dani García,es ESP,MF,Athletic Club,es La Liga,31,1990,24.2,9,0,0,44,22,1,4,24,22,0,0,0,132,33,33,50.0,Matches,240d3a0b
961,David García,es ESP,DF,Osasuna,es La Liga,27,1994,34.5,8,0,0,53,21,0,0,52,14,0,1,0,221,134,42,76.1,Matches,3e42f707
962,Eric García,es ESP,DF,Barcelona,es La Liga,20,2001,22.7,5,1,0,34,5,2,2,44,18,0,1,0,95,32,21,60.4,Matches,2bed3eab
963,Francisco Garcia,es ESP,DF,Rayo Vallecano,es La Liga,21,1999,33.6,4,0,0,24,15,2,128,45,35,0,0,0,210,25,37,40.3,Matches,7226539b
964,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,,Matches,87b498b0
965,Manu García,es ESP,MF,Alavés,es La Liga,23,1998,12.0,3,0,0,24,33,0,43,13,9,0,0,0,81,3,10,23.1,Matches,6ed1a2a2
966,Raúl García,es ESP,FW,Athletic Club,es La Liga,35,1986,20.0,3,0,0,49,32,12,20,9,17,0,0,0,62,57,66,46.3,Matches,b418dbd4
967,Rubén García,es ESP,MFFW,Osasuna,es La Liga,28,1993,26.4,1,0,0,37,28,8,199,24,26,0,1,0,139,28,44,38.9,Matches,5c96b017
968,Saúl García,es ESP,MF,Alavés,es La Liga,26,1994,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,dafa5038
969,Unai García,es ESP,DF,Osasuna,es La Liga,29,1992,15.6,5,0,0,10,7,0,8,22,12,0,1,0,75,34,33,50.7,Matches,4a633cfe
970,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,eng Premier League,17,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,7aa8adfe
971,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,30,1990,6.9,1,0,0,8,2,0,4,6,4,0,0,0,30,8,11,42.1,Matches,fb5d47b3
972,Djeidi Gassama,fr FRA,FW,Paris S-G,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,bbdb2789
973,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,33,1988,30.5,8,2,0,29,33,0,61,53,34,0,1,1,260,21,27,43.8,Matches,868eaba0
974,Gavi,es ESP,MFFW,Barcelona,es La Liga,16,2004,25.7,11,1,1,63,69,12,48,25,18,1,0,0,122,32,35,47.8,Matches,19cae58d
975,Dwight Gayle,eng ENG,FWDF,Newcastle Utd,eng Premier League,30,1990,0.4,1,0,0,2,2,0,0,1,0,0,0,0,2,1,1,50.0,Matches,e58a03c6
976,Jean-Philippe Gbamin,ci CIV,MF,Everton,eng Premier League,25,1995,0.7,0,0,0,0,1,0,0,1,1,0,0,0,4,1,0,100.0,Matches,6bd603db
977,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38.0,0,0,0,0,1,0,0,0,0,0,0,0,30,8,0,100.0,Matches,7ba6d84e
978,Linus Gechter,de GER,DF,Hertha BSC,de Bundesliga,17,2004,8.0,0,0,0,6,0,0,2,11,8,0,1,0,44,8,14,36.4,Matches,ad2b068c
979,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,23,1998,15.3,6,0,0,39,19,0,42,14,23,0,1,0,102,0,6,0.0,Matches,37f606f0
980,Joe Gelhardt,eng ENG,FWMF,Leeds United,eng Premier League,19,2002,8.3,4,0,0,17,24,5,3,0,3,2,0,0,30,11,21,34.4,Matches,01962d0d
981,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,53e494ec
982,Yannick Gerhardt,de GER,MFDF,Wolfsburg,de Bundesliga,27,1994,17.5,2,0,0,18,24,2,32,25,20,0,0,0,115,26,25,51.0,Matches,62ab9184
983,Valère Germain,fr FRA,FW,Montpellier,fr Ligue 1,31,1990,21.9,3,0,0,23,27,7,15,9,14,0,0,0,54,53,104,33.8,Matches,ea0ff634
984,Gerson,br BRA,MFFW,Marseille,fr Ligue 1,24,1997,28.3,3,0,0,45,67,2,22,16,17,2,0,0,109,23,19,54.8,Matches,8827bf46
985,Willem Geubbels,fr FRA,FWMF,Nantes,fr Ligue 1,19,2001,6.0,1,0,0,10,4,5,6,6,5,0,0,0,16,10,13,43.5,Matches,9836e892
986,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,de Bundesliga,30,1990,5.5,2,0,0,13,6,3,1,0,4,0,0,0,10,16,19,45.7,Matches,5723931e
987,Ismaël Gharbi,es ESP,FW,Paris S-G,fr Ligue 1,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,5b3cfa12
988,Anwar El Ghazi,nl NED,FWMF,Aston Villa,eng Premier League,26,1995,4.3,2,0,0,8,5,2,14,1,4,0,0,0,20,10,11,47.6,Matches,ffa90327
989,Anwar El Ghazi,nl NED,FWMF,Everton,eng Premier League,26,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0.0,Matches,ffa90327
990,Lamine Ghezali,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches,ce84946a
991,Paolo Ghiglione,it ITA,DF,Genoa,it Serie A,24,1997,6.7,3,0,0,11,3,0,37,10,12,0,0,0,33,7,8,46.7,Matches,71dc23da
992,Saman Ghoddos,ir IRN,MFDF,Brentford,eng Premier League,27,1993,6.0,2,0,0,12,10,0,21,3,10,1,0,0,36,11,15,42.3,Matches,f7b1d4e0
993,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,30,1991,3.7,1,0,0,4,2,0,26,3,1,0,0,0,12,5,6,45.5,Matches,c5adc293
994,Dimitris Giannoulis,gr GRE,DF,Norwich City,eng Premier League,25,1995,13.0,2,0,0,16,22,0,44,19,21,0,0,0,105,8,7,53.3,Matches,112c495e
995,Morgan Gibbs-White,eng ENG,DFFW,Wolves,eng Premier League,21,2000,0.1,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,0.0,Matches,32f60ed8
996,Ben Gibson,eng ENG,DF,Norwich City,eng Premier League,28,1993,27.7,5,1,1,12,9,0,1,27,16,0,3,0,108,52,39,57.1,Matches,bcfb0142
997,Niko Gießelmann,de GER,DFFW,Union Berlin,de Bundesliga,29,1991,23.1,3,0,0,23,33,1,106,18,17,0,0,0,81,24,29,45.3,Matches,7242b495
998,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34.0,0,0,0,0,6,0,0,3,0,0,0,0,46,11,0,100.0,Matches,17376543
999,Óscar Gil,es ESP,DF,Espanyol,es La Liga,24,1997,18.8,7,0,0,36,24,2,38,19,35,0,0,0,72,6,24,20.0,Matches,6652cf96
1000,Mario Gila,es ESP,DF,Real Madrid,es La Liga,20,2000,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,,Matches,9c435456
1001,Billy Gilmour,sct SCO,MF,Norwich City,eng Premier League,20,2001,20.6,2,0,0,28,21,1,98,17,21,0,1,0,124,13,20,39.4,Matches,df10e27c
1002,Daniel Ginczek,de GER,MFFW,Wolfsburg,de Bundesliga,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,e5f63987
1003,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,27,1994,26.2,2,0,0,9,29,2,20,33,22,0,0,0,136,74,44,62.7,Matches,f521b80a
1004,Nicholas Gioacchini,us USA,FWMF,Montpellier,fr Ligue 1,21,2000,5.5,0,0,0,4,17,3,3,4,5,1,0,0,31,20,21,48.8,Matches,79ab7593
1005,Sebastian Giovinco,it ITA,MF,Sampdoria,it Serie A,34,1987,0.4,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,,Matches,2b7c18ae
1006,Jimmy Giraudon,fr FRA,DF,Troyes,fr Ligue 1,29,1992,18.0,5,1,1,14,5,0,1,37,6,0,1,1,105,17,10,63.0,Matches,6ba71da5
1007,Andrei Girotto,br BRA,DFMF,Nantes,fr Ligue 1,29,1992,35.0,8,0,0,52,28,0,9,69,52,0,0,0,200,106,64,62.4,Matches,3befc2b6
1008,Olivier Giroud,fr FRA,FW,Milan,it Serie A,34,1986,21.0,4,0,0,31,22,11,4,3,11,0,0,0,42,92,51,64.3,Matches,16ceb862
1009,Serge Gnabry,de GER,FWDF,Bayern Munich,de Bundesliga,26,1995,24.3,0,0,0,11,21,15,79,14,31,0,0,0,146,7,27,20.6,Matches,88e357ef
1010,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,23,1998,22.5,6,0,0,17,12,0,12,15,32,0,0,0,94,36,43,45.6,Matches,9f7c837d
1011,Diego Godín,uy URU,DF,Cagliari,it Serie A,35,1986,9.1,3,0,0,13,3,0,0,13,7,0,1,0,53,18,12,60.0,Matches,fc4f85b1
1012,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,27,1993,10.4,3,0,0,22,13,1,13,22,5,0,0,0,57,28,19,59.6,Matches,4b029b31
1013,Edoardo Goldaniga,it ITA,DFMF,Sassuolo,it Serie A,27,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,4b029b31
1014,Aleksandr Golovin,ru RUS,FWMF,Monaco,fr Ligue 1,25,1996,16.7,4,1,0,21,21,2,111,12,22,0,0,0,96,6,13,31.6,Matches,3708e9fa
1015,André Gomes,pt POR,MF,Everton,eng Premier League,28,1993,6.9,3,0,0,24,8,0,6,1,4,0,0,0,53,8,9,47.1,Matches,1961b2aa
1016,Angel Gomes,eng ENG,MFFW,Lille,fr Ligue 1,20,2000,10.6,3,0,0,13,15,0,16,3,13,0,0,0,39,5,14,26.3,Matches,645a3363
1017,Toti Gomes,pt POR,DF,Wolves,eng Premier League,22,1999,4.0,1,0,0,2,3,1,1,8,7,0,0,0,17,13,10,56.5,Matches,f0caab96
1018,Dani Gómez,es ESP,FW,Levante,es La Liga,23,1998,11.8,1,0,0,18,20,11,5,3,4,1,0,0,32,4,29,12.1,Matches,0e5ddc7c
1019,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,24,1997,3.7,2,0,0,5,2,0,19,5,6,0,0,0,19,10,6,62.5,Matches,7a11550b
1020,Maxi Gómez,uy URU,FW,Valencia,es La Liga,24,1996,21.7,7,1,1,49,55,10,19,3,3,1,0,0,48,82,67,55.0,Matches,4c2e9442
1021,Moi Gómez,es ESP,MFFW,Villarreal,es La Liga,27,1994,14.3,2,0,0,22,11,1,33,6,7,0,0,0,76,11,14,44.0,Matches,5a626448
1022,Papu Gómez,ar ARG,FWMF,Sevilla,es La Liga,33,1988,19.8,4,0,0,21,48,1,57,7,11,0,0,0,80,10,20,33.3,Matches,6e4df551
1023,Sergi Gómez,es ESP,DF,Espanyol,es La Liga,29,1992,30.2,1,1,0,11,4,0,0,40,24,0,0,0,103,39,50,43.8,Matches,bc6f5f06
1024,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25.0,1,0,0,1,3,0,0,1,0,0,1,0,29,4,0,100.0,Matches,cecbce23
1025,Maxime Gonalons,fr FRA,MF,Granada,es La Liga,32,1989,17.2,6,0,0,29,31,0,6,18,28,0,0,0,110,33,16,67.3,Matches,b8c1de25
1026,Vagner Gonçalves,cv CPV,FW,Metz,fr Ligue 1,25,1996,1.0,1,0,0,5,1,0,10,1,1,0,0,0,4,0,2,0.0,Matches,743fd71f
1027,Cedric Gondo,ci CIV,FW,Salernitana,it Serie A,24,1996,7.8,1,0,0,18,32,3,9,3,2,1,0,0,34,23,30,43.4,Matches,ff37d2ef
1028,Álvaro González,es ESP,DF,Marseille,fr Ligue 1,31,1990,5.0,1,0,0,7,7,0,0,1,1,0,0,0,19,4,11,26.7,Matches,42dcf26d
1029,Diego González,es ESP,DF,Elche,es La Liga,26,1995,19.9,3,1,0,25,3,0,0,19,16,0,1,0,85,27,27,50.0,Matches,4ac7608e
1030,Édgar González,es ESP,DF,Betis,es La Liga,24,1997,16.3,6,0,0,21,8,0,1,23,19,0,0,0,70,32,34,48.5,Matches,49d028db
1031,Giovanni González,uy URU,DF,Mallorca,es La Liga,26,1994,4.1,1,0,0,3,3,0,10,4,3,0,0,0,20,6,12,33.3,Matches,1fc474ae
1032,Nicolás González,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,4,1,1,30,97,5,64,21,16,3,0,0,95,66,59,52.8,Matches,2374aaca
1033,Nicolás González,es ESP,MF,Barcelona,es La Liga,19,2002,12.4,6,0,0,37,19,1,7,6,20,0,0,0,66,5,13,27.8,Matches,2c56a792
1034,Peter González,do DOM,MFDF,Real Madrid,es La Liga,19,2002,0.3,0,0,0,0,2,0,1,1,0,0,0,0,3,0,1,0.0,Matches,1ccd3dae
1035,Roberto González,es ESP,FWMF,Betis,es La Liga,20,2001,1.5,0,0,0,2,3,0,1,1,4,0,0,0,2,1,1,50.0,Matches,56545648
1036,Charlie Goode,eng ENG,DF,Brentford,eng Premier League,25,1995,5.0,3,0,0,5,7,0,6,2,5,0,1,0,30,15,8,65.2,Matches,7aee4dd3
1037,Anthony Gordon,eng ENG,MFFW,Everton,eng Premier League,20,2001,25.4,4,0,0,25,64,8,119,22,32,2,0,0,116,17,38,30.9,Matches,2bd83368
1038,Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,16,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,19a9cb70
1039,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,26,1995,15.5,0,0,0,15,10,1,9,17,15,0,0,0,108,31,15,67.4,Matches,cc86b9a3
1040,Gori,es ESP,MF,Espanyol,es La Liga,19,2002,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,f3451c66
1041,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,24,1996,25.4,4,0,0,27,18,0,63,18,31,0,0,0,137,22,30,42.3,Matches,6f5f82c0
1042,Robin Gosens,de GER,DF,Atalanta,it Serie A,27,1994,5.1,2,0,0,3,5,1,5,9,3,1,0,0,22,12,4,75.0,Matches,2d970560
1043,Robin Gosens,de GER,DF,Inter,it Serie A,27,1994,1.9,1,0,0,1,2,2,7,3,1,0,0,0,13,4,1,80.0,Matches,2d970560
1044,Dan Gosling,eng ENG,MF,Watford,eng Premier League,31,1990,1.8,0,0,0,2,5,0,1,0,1,0,0,0,14,5,4,55.6,Matches,7fec31a0
1045,Amine Gouiri,fr FRA,FWMF,Nice,fr Ligue 1,21,2000,30.6,3,0,0,30,32,6,98,11,13,1,0,0,89,12,24,33.3,Matches,aad56ca3
1046,Lucas Gourna-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2003,20.0,7,0,0,36,28,0,4,13,26,0,1,0,157,11,18,37.9,Matches,3cd7820a
1047,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,30,1991,28.6,9,0,0,32,8,0,6,49,27,0,2,0,188,43,47,47.8,Matches,1025db8e
1048,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,28,1992,34.1,7,0,0,41,37,0,10,65,28,0,0,0,221,47,52,47.5,Matches,06c48679
1049,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,f26dee6b
1050,Alberto Grassi,it ITA,MF,Cagliari,it Serie A,26,1995,24.2,6,1,1,28,60,1,5,63,26,0,0,0,176,54,28,65.9,Matches,6cc97b6a
1051,Jaume Grau,es ESP,MF,Osasuna,es La Liga,24,1997,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches,fc3d2006
1052,Andrew Gravillon,gp GLP,DF,Reims,fr Ligue 1,23,1998,23.7,9,2,2,35,21,0,24,33,24,0,1,0,97,32,27,54.2,Matches,49136c42
1053,Demarai Gray,eng ENG,MFFW,Everton,eng Premier League,25,1996,26.0,3,0,0,12,32,3,129,15,19,0,0,0,100,4,31,11.4,Matches,4468ec10
1054,Adrian Grbić,at AUT,FWMF,Lorient,fr Ligue 1,24,1996,5.8,0,0,0,6,9,2,3,0,1,0,0,0,14,13,20,39.4,Matches,4a987ffa
1055,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,3,0,0,0,7,0,0,0,0,0,0,0,19,7,0,100.0,Matches,3f034750
1056,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,25,1995,21.3,3,0,0,17,55,5,32,8,17,0,0,0,63,14,28,33.3,Matches,b0b4fd3e
1057,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,1,1,0,2,1,0,0,1,1,0,1,0,11,2,0,100.0,Matches,667b65da
1058,Julian Green,us USA,MF,Greuther Fürth,de Bundesliga,26,1995,11.7,2,0,0,13,38,0,57,7,5,0,0,0,64,5,18,21.7,Matches,ad1d6fa4
1059,Mason Greenwood,eng ENG,FWMF,Manchester Utd,eng Premier League,19,2001,14.1,1,0,0,15,16,3,34,1,9,0,0,0,55,4,8,33.3,Matches,58eee997
1060,Sam Greenwood,eng ENG,MFFW,Leeds United,eng Premier League,19,2002,2.6,0,0,0,7,2,2,6,2,5,0,0,0,14,2,3,40.0,Matches,f3354c07
1061,Michael Gregoritsch,at AUT,FWMF,Augsburg,de Bundesliga,27,1994,15.5,3,0,0,17,13,5,10,6,8,0,0,0,58,79,48,62.2,Matches,8e235926
1062,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches,30061f53
1063,Clément Grenier,fr FRA,MF,Mallorca,es La Liga,30,1991,0.7,1,0,0,2,0,0,2,0,0,0,0,0,4,1,2,33.3,Matches,8b298f56
1064,Sebastian Griesbeck,de GER,DFMF,Greuther Fürth,de Bundesliga,30,1990,27.1,7,0,0,32,16,0,1,43,31,0,1,2,148,56,43,56.6,Matches,a8db7ebb
1065,Sebastian Griesbeck,de GER,MF,Union Berlin,de Bundesliga,30,1990,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,a8db7ebb
1066,Antoine Griezmann,fr FRA,FW,Barcelona,es La Liga,30,1991,2.9,0,0,0,2,4,0,0,3,5,0,0,0,9,4,6,40.0,Matches,df69b544
1067,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,es La Liga,30,1991,18.8,3,0,0,18,27,10,34,7,14,0,0,0,72,31,53,36.9,Matches,df69b544
1068,Vincenzo Grifo,it ITA,MFFW,Freiburg,de Bundesliga,28,1993,30.8,0,0,0,11,27,1,169,13,15,0,0,0,160,17,19,47.2,Matches,54e4866f
1069,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,37998008
1070,Florian Grillitsch,at AUT,DFMF,Hoffenheim,de Bundesliga,25,1995,16.6,7,0,0,12,24,0,11,29,19,0,1,0,125,23,26,46.9,Matches,ffbbc83b
1071,Pascal Groß,de GER,MFDF,Brighton,eng Premier League,30,1991,22.6,1,0,0,15,6,4,189,18,15,0,0,0,119,15,21,41.7,Matches,8aec0537
1072,Carlos Gruezo,ec ECU,MF,Augsburg,de Bundesliga,26,1995,10.8,7,0,0,28,4,0,4,9,11,0,0,0,70,10,14,41.7,Matches,f2dd9a21
1073,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,2,0,0,1,2,0,0,1,0,0,1,0,22,8,1,88.9,Matches,ab13a5aa
1074,Andrés Guardado,mx MEX,MF,Betis,es La Liga,34,1986,15.5,4,0,0,24,18,0,9,21,13,0,1,0,100,12,32,27.3,Matches,ef322658
1075,Sergi Guardiola,es ESP,FW,Rayo Vallecano,es La Liga,30,1991,19.0,3,0,0,29,29,14,16,4,9,1,0,0,47,23,45,33.8,Matches,32974271
1076,Nemanja Gudelj,rs SRB,DFMF,Sevilla,es La Liga,29,1991,11.6,5,0,0,15,9,0,0,22,7,0,0,0,73,29,8,78.4,Matches,0076ab7f
1077,Gabriel Gudmundsson,se SWE,DFMF,Lille,fr Ligue 1,22,1999,14.9,3,0,0,27,20,5,62,20,31,0,0,0,79,16,20,44.4,Matches,d5d22a58
1078,Noah Guede-Nadje,fr FRA,MF,Angers,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,94b442c0
1079,Gonçalo Guedes,pt POR,FWMF,Valencia,es La Liga,24,1996,29.0,3,0,0,37,74,5,110,9,14,1,0,0,108,16,29,35.6,Matches,e6bc67d7
1080,Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,21,2000,35.8,4,0,0,14,34,0,3,30,17,0,1,0,192,68,54,55.7,Matches,d0706b27
1081,Mattéo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,22,1999,35.0,6,0,0,28,67,0,49,16,30,2,0,0,178,23,30,43.4,Matches,5ea8ef20
1082,Yanis Guermouche,fr FRA,MFFW,Montpellier,fr Ligue 1,20,2001,0.1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,,Matches,642f9f79
1083,Raphaël Guerreiro,pt POR,DF,Dortmund,de Bundesliga,27,1993,19.9,1,0,0,12,8,1,39,25,19,0,0,0,130,5,6,45.5,Matches,048a1cbc
1084,Evann Guessand,fr FRA,FW,Nice,fr Ligue 1,20,2001,4.9,3,0,0,14,9,0,0,0,8,1,0,0,19,12,12,50.0,Matches,b73f17f8
1085,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,24,1997,9.6,2,0,0,15,5,0,0,12,13,0,1,0,66,15,22,40.5,Matches,8e48dc61
1086,Lamine Gueye,sn SEN,FWMF,Metz,fr Ligue 1,23,1998,6.2,0,0,0,7,10,3,49,6,5,1,0,0,23,4,10,28.6,Matches,9d5dcc23
1087,Pape Gueye,sn SEN,MF,Marseille,fr Ligue 1,22,1999,17.0,7,0,0,29,40,4,3,24,19,0,1,0,109,21,13,61.8,Matches,7155e3e1
1088,John Guidetti,se SWE,FWMF,Alavés,es La Liga,29,1992,3.1,2,0,0,9,3,3,4,0,1,1,0,0,7,1,6,14.3,Matches,99bebd12
1089,Josuha Guilavogui,fr FRA,MFDF,Bordeaux,fr Ligue 1,30,1990,14.8,4,0,0,23,13,0,6,36,16,0,0,0,134,13,12,52.0,Matches,e6c43eec
1090,Josuha Guilavogui,fr FRA,MFDF,Wolfsburg,de Bundesliga,30,1990,10.5,4,0,0,20,6,2,0,25,14,0,0,0,106,41,14,74.5,Matches,e6c43eec
1091,Frederic Guilbert,fr FRA,DF,Strasbourg,fr Ligue 1,26,1994,28.0,4,0,0,26,22,2,218,55,39,0,0,0,142,27,40,40.3,Matches,5d8d7454
1092,Hugo Guillamón,es ESP,MFDF,Valencia,es La Liga,21,2000,26.2,11,2,1,71,63,2,6,30,27,0,0,1,169,48,39,55.2,Matches,f7c12fbf
1093,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,23,1997,11.5,4,0,0,13,36,4,12,9,23,0,0,0,81,4,9,30.8,Matches,82518f62
1094,Bruno Guimarães,br BRA,MF,Lyon,fr Ligue 1,23,1997,18.2,2,0,0,31,59,1,28,21,31,1,0,0,131,12,10,54.5,Matches,82518f62
1095,Sehrou Guirassy,gn GUI,FW,Rennes,fr Ligue 1,25,1996,11.3,1,0,0,21,35,5,1,1,2,0,0,0,30,37,34,52.1,Matches,923f4dda
1096,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33.0,1,0,0,0,2,0,0,1,0,0,0,0,54,6,0,100.0,Matches,bcb2ccd8
1097,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,30,1991,13.6,2,0,0,17,9,0,3,17,10,0,0,0,60,25,15,62.5,Matches,25ab9c9c
1098,Gerard Gumbau,es ESP,MF,Elche,es La Liga,26,1994,21.0,8,1,0,50,22,0,93,23,19,0,0,0,104,15,22,40.5,Matches,ac454a4f
1099,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,23,1998,25.2,3,0,0,27,27,0,28,28,29,0,0,0,130,36,24,60.0,Matches,1df0c0b9
1100,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,30,1990,20.6,1,0,0,13,10,2,67,15,9,0,0,0,110,11,12,47.8,Matches,819b3158
1101,Angus Gunn,sct SCO,GK,Norwich City,eng Premier League,25,1996,9.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,66.7,Matches,e082af5b
1102,Christian Günter,de GER,DFMF,Freiburg,de Bundesliga,28,1993,34.0,2,0,0,37,14,4,211,17,20,1,0,0,184,11,22,33.3,Matches,8593f88c
1103,Koray Günter,de GER,DF,Hellas Verona,it Serie A,26,1994,26.8,10,0,0,42,16,1,0,69,18,0,2,1,197,90,54,62.5,Matches,f1f1f238
1104,Lasse Günther,de GER,DF,Augsburg,de Bundesliga,18,2003,1.8,1,0,0,3,1,0,3,2,5,0,0,0,8,0,3,0.0,Matches,00672803
1105,Jon Guridi,es ESP,MF,Real Sociedad,es La Liga,26,1995,2.3,0,0,0,4,3,0,3,3,3,0,0,0,9,1,12,7.7,Matches,4c0a6a48
1106,Malo Gusto,fr FRA,DF,Lyon,fr Ligue 1,18,2003,20.9,3,0,0,25,20,2,70,33,35,0,2,1,144,16,17,48.5,Matches,d56b9520
1107,Raúl Guti,es ESP,MF,Elche,es La Liga,24,1996,18.1,4,1,1,16,34,0,9,25,15,0,0,0,106,9,17,34.6,Matches,0b2c8585
1108,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,es La Liga,30,1991,1.5,1,0,0,1,1,0,0,1,0,0,0,0,5,4,1,80.0,Matches,b3b62f94
